Region,Year of Order Date,Quarter of Order Date,Profit
East,2012,Q1,653.68
East,2012,Q1,-449.04
East,2012,Q1,-22.37
Central,2012,Q1,304.42
East,2012,Q1,-103.78
South,2012,Q1,906.8
South,2012,Q1,-568.71
West,2012,Q1,593.79
East,2012,Q1,2.72
South,2012,Q1,-131.03
East,2012,Q1,4276.73
Central,2012,Q1,452.49
West,2012,Q1,111.4
West,2012,Q1,-16.72
East,2012,Q1,-66.58
West,2012,Q1,267.67
South,2012,Q1,-111.34
West,2012,Q1,-377.9019
West,2012,Q1,-53.89
South,2012,Q1,-368.02
East,2012,Q1,1425.11
South,2012,Q1,103.13
South,2012,Q1,7.32
West,2012,Q1,2685.19
West,2012,Q1,1278.45
South,2012,Q1,23
East,2012,Q1,-7.39
East,2012,Q1,-168.75
West,2012,Q1,-220.0491
West,2012,Q1,13.92
Central,2012,Q1,-26.7835
South,2012,Q1,-80.86
South,2012,Q1,-1.82
East,2012,Q1,3.27
Central,2012,Q1,-61.21
Central,2012,Q1,119.09
East,2012,Q1,-17.75
Central,2012,Q1,-282.6125
Central,2012,Q1,5.53
South,2012,Q1,16.46
East,2012,Q1,-433.290143
East,2012,Q1,-85.76
East,2012,Q1,59.18
East,2012,Q1,3.23
South,2012,Q1,175.07
East,2012,Q1,561.132
South,2012,Q1,76.43
Central,2012,Q1,-193.44
Central,2012,Q1,39.52
South,2012,Q1,200.53
East,2012,Q1,541.47
South,2012,Q1,-0.13
South,2012,Q1,-50.43
South,2012,Q1,40.3
Central,2012,Q1,-43.1
South,2012,Q1,-509.938
South,2012,Q1,168.54
South,2012,Q1,-89.35
South,2012,Q1,1315.749
South,2012,Q1,573.8
South,2012,Q1,1.46
South,2012,Q1,-210.09
East,2012,Q1,2372.08
East,2012,Q1,-67.3815
Central,2012,Q1,279.74
West,2012,Q1,7.57
East,2012,Q1,-101.6595
East,2012,Q1,1081.62
East,2012,Q1,-19.52
South,2012,Q1,684.9
Central,2012,Q1,-229.79
West,2012,Q1,1161.75
West,2012,Q1,813.33
East,2012,Q1,834.96
East,2012,Q1,81.77
West,2012,Q1,-10.3845
West,2012,Q1,8.79
East,2012,Q1,85.83
East,2012,Q1,-1756.4404
Central,2012,Q1,709.325
East,2012,Q1,-8.4985
West,2012,Q1,69.08
East,2012,Q1,-140.54
South,2012,Q1,40.04
West,2012,Q1,-6.88
Central,2012,Q1,-49.81
Central,2012,Q1,-17.4455
South,2012,Q1,1517.12
South,2012,Q1,-237.6
South,2012,Q1,553.356
South,2012,Q1,-125.96
South,2012,Q1,812.38
East,2012,Q1,-330.14
South,2012,Q1,50.74
Central,2012,Q1,7513.88
Central,2012,Q1,-99.34
South,2012,Q1,488.31
West,2012,Q1,-23.44
West,2012,Q1,-11.15
Central,2012,Q1,1151.69
Central,2012,Q1,-23.35
Central,2012,Q1,983.55
East,2012,Q1,-19.06
West,2012,Q1,-8.93
South,2012,Q1,-42.999
South,2012,Q1,-97.47
Central,2012,Q1,115.21
South,2012,Q1,-1212.55
South,2012,Q1,1771.15
South,2012,Q1,53.79
East,2012,Q1,-1549.14
Central,2012,Q1,1.61
East,2012,Q1,-29.98
South,2012,Q1,-146.2
Central,2012,Q1,8.4
Central,2012,Q1,1312.344
East,2012,Q1,360.63
South,2012,Q1,-411.653
East,2012,Q1,-3.05
West,2012,Q1,-900.27
West,2012,Q1,85.17
West,2012,Q1,-22.82
West,2012,Q1,-4.28
West,2012,Q1,-102.2695
West,2012,Q1,-44.05
Central,2012,Q1,-219.93
South,2012,Q1,17.676
South,2012,Q1,7604.95
Central,2012,Q1,-144.27
Central,2012,Q1,514.07
Central,2012,Q1,7416.43
Central,2012,Q1,470.3
Central,2012,Q1,105.91
East,2012,Q1,-528.653125
East,2012,Q1,-16.95
South,2012,Q1,90.86
East,2012,Q1,-35.19
East,2012,Q1,0.9
South,2012,Q1,33.77
Central,2012,Q1,62.46
South,2012,Q1,349.22
Central,2012,Q1,523.43
Central,2012,Q1,21.42
West,2012,Q1,-0.49
East,2012,Q1,-144.56
East,2012,Q1,-372.485971
East,2012,Q1,-2426.55
Central,2012,Q1,1166.4
Central,2012,Q1,-1396.22
West,2012,Q1,-32.4
West,2012,Q1,-120.934
Central,2012,Q1,751.58
South,2012,Q1,-2110.56
South,2012,Q1,-139.9
South,2012,Q1,-166.5545
South,2012,Q1,-99.08
Central,2012,Q1,67.864
Central,2012,Q1,-51.42
South,2012,Q1,32.6825
South,2012,Q1,-32.15
South,2012,Q1,123.02
South,2012,Q1,-35.52
Central,2012,Q1,-157.56
Central,2012,Q1,-6.71
Central,2012,Q1,-29.54
West,2012,Q1,-4.2
Central,2012,Q1,475.26
South,2012,Q1,77.33
Central,2012,Q1,1243.17
West,2012,Q1,8734.88
West,2012,Q1,-102.93
West,2012,Q1,-170.98
Central,2012,Q1,9.59
Central,2012,Q1,-655.424
South,2012,Q1,912.48
South,2012,Q1,-763.8
South,2012,Q1,-803.077
East,2012,Q1,-2531.4825
Central,2012,Q1,1385.35
Central,2012,Q1,172.332
South,2012,Q1,601.9615
South,2012,Q1,-52.33
South,2012,Q1,-66.48
West,2012,Q1,377.154
West,2012,Q1,108
East,2012,Q1,-427.47
East,2012,Q1,-254.1385
West,2012,Q1,-268.65
West,2012,Q1,580.43
West,2012,Q1,1445.36
Central,2012,Q1,-48.2195
South,2012,Q1,78.2
South,2012,Q1,-36.7662
South,2012,Q1,-60.66
South,2012,Q1,40.44
Central,2012,Q1,-563.86
South,2012,Q1,2497.941
South,2012,Q1,251.541
South,2012,Q1,-96.05
West,2012,Q1,-1596.7458
Central,2012,Q1,-178.82
Central,2012,Q1,10.56
Central,2012,Q1,-20.3205
East,2012,Q1,-42.1705
East,2012,Q1,5.7
Central,2012,Q1,320.1
East,2012,Q1,1016.973
East,2012,Q1,3.4595
West,2012,Q1,-164.18
East,2012,Q1,2.63
Central,2012,Q1,1046.69
Central,2012,Q1,39.98
South,2012,Q1,-66.87
Central,2012,Q1,565.18
East,2012,Q1,-1330.5
Central,2012,Q1,2861.01
Central,2012,Q1,-38.72
West,2012,Q1,1192.04
South,2012,Q1,208.06
West,2012,Q1,-93.85
Central,2012,Q1,
Central,2012,Q1,-575.352
West,2012,Q1,875.57
Central,2012,Q1,15.2745
Central,2012,Q1,57.31
West,2012,Q1,1689.93
South,2012,Q1,10.8
South,2012,Q1,-23.2
East,2012,Q1,-81.77
West,2012,Q1,33.01
Central,2012,Q1,-60.145
West,2012,Q1,-8.11
Central,2012,Q1,-111.72
Central,2012,Q1,325.29
Central,2012,Q1,-63.8135
West,2012,Q1,9.299
West,2012,Q1,232
West,2012,Q1,-380.9
West,2012,Q1,-4.14
West,2012,Q1,-1510.8855
Central,2012,Q1,-533.232
Central,2012,Q1,1240.25
West,2012,Q1,-104.57
Central,2012,Q1,-47.12
Central,2012,Q1,-8.02
Central,2012,Q1,46.41
West,2012,Q1,-35.26
West,2012,Q1,561.43
Central,2012,Q1,-53.62
East,2012,Q1,82.38
South,2012,Q1,166.92
East,2012,Q1,-231.05
East,2012,Q1,-185.17
Central,2012,Q1,-243.2365
Central,2012,Q1,101.13
East,2012,Q1,-76.89
Central,2012,Q1,-202.581
West,2012,Q1,6839.95
West,2012,Q1,144.69
Central,2012,Q1,-98.35
Central,2012,Q1,565.37
South,2012,Q1,-851.09
Central,2012,Q1,87.03
Central,2012,Q1,1.98
Central,2012,Q1,-36.77
Central,2012,Q1,3407.73
East,2012,Q1,108.96
Central,2012,Q1,-1.84
East,2012,Q1,-321.51
South,2012,Q1,-22.5285
South,2012,Q1,-26.8
Central,2012,Q1,387.2
West,2012,Q1,98.12
Central,2012,Q1,-684.78
West,2012,Q1,-8.28
Central,2012,Q1,310.216
East,2012,Q1,18.42
West,2012,Q1,3272.9
South,2012,Q1,126.126
Central,2012,Q1,5.2955
East,2012,Q1,282.32
West,2012,Q1,11.95
East,2012,Q1,349.47
Central,2012,Q1,2816.21
South,2012,Q1,-1.4355
West,2012,Q1,21.024
South,2012,Q1,-340.98
Central,2012,Q1,-62.73
West,2012,Q1,372.402
South,2012,Q1,385.8
West,2012,Q1,-41.83
West,2012,Q1,690.268
Central,2012,Q1,54.9015
Central,2012,Q1,-155.21
South,2012,Q1,233.559
South,2012,Q1,218.89
South,2012,Q1,-48.55
Central,2012,Q1,35.29
South,2012,Q1,-11769.17
South,2012,Q1,80.757
Central,2012,Q1,-45.1
South,2012,Q1,-120.24
South,2012,Q1,3.14
South,2012,Q1,-1.08
East,2012,Q1,82.31
Central,2012,Q1,-129.01
Central,2012,Q1,-3.88
South,2012,Q1,-477.66
South,2012,Q1,-693.33
East,2012,Q1,350.361
South,2012,Q1,553.7
Central,2012,Q1,-66.35
Central,2012,Q1,186.64
South,2012,Q1,122.536
Central,2012,Q1,2.06
Central,2012,Q1,-159.68
Central,2012,Q1,27.91
South,2012,Q1,-450.7
Central,2012,Q1,-807.89
Central,2012,Q1,-127.3
Central,2012,Q1,-52.77
West,2012,Q1,501.69
Central,2012,Q1,909.36
South,2012,Q1,-90.21
South,2012,Q1,243.73
Central,2012,Q1,773.36
Central,2012,Q1,-149.4573
South,2012,Q1,403.81
Central,2012,Q1,268.32
West,2012,Q1,-948.71
South,2012,Q1,368.559
South,2012,Q1,124.82
South,2012,Q1,5255.45
South,2012,Q1,-174.18
South,2012,Q1,117.73
South,2012,Q1,-193.9578
West,2012,Q1,-14140.7016
Central,2012,Q1,-96.338
Central,2012,Q1,-46.115
Central,2012,Q1,282.18
Central,2012,Q1,-127.56
South,2012,Q1,-1390.53
South,2012,Q1,118.82
East,2012,Q1,599.04
East,2012,Q1,-229.87
East,2012,Q1,37.25
West,2012,Q1,-88.61
West,2012,Q1,453.798
East,2012,Q1,-604.406
East,2012,Q1,-75.44
Central,2012,Q1,-12.1555
East,2012,Q1,293.66
South,2012,Q1,-4.34
South,2012,Q1,1769.81
East,2012,Q1,-1763.7477
South,2012,Q1,-63.87
South,2012,Q1,-163.63
South,2012,Q1,356.48
South,2012,Q1,-175.175
East,2012,Q1,-715.778206
Central,2012,Q1,230.02
Central,2012,Q1,-1.56
East,2012,Q1,-99.55
East,2012,Q1,-605.374
West,2012,Q1,51.14
West,2012,Q1,-550.43
Central,2012,Q1,78.45
South,2012,Q1,18.53
West,2012,Q1,-52.12
East,2012,Q1,-90.26
East,2012,Q1,-40.76
Central,2012,Q1,15.25
Central,2012,Q1,-9.108
West,2012,Q1,1049.03
Central,2012,Q1,650.73
East,2012,Q1,103.83
West,2012,Q1,-815.79
West,2012,Q1,8.1
Central,2012,Q1,-49.53
Central,2012,Q1,-43.5
East,2012,Q1,-82.823
Central,2012,Q1,-45.816
Central,2012,Q1,-72.44
Central,2012,Q1,-172.4775
East,2012,Q1,-12.078
Central,2012,Q1,30.63
East,2012,Q1,107.082
East,2012,Q1,-72.23
Central,2012,Q1,65.63
Central,2012,Q1,-1759.58
Central,2012,Q1,4.58
Central,2012,Q1,18.41
West,2012,Q1,-229.68
South,2012,Q1,1623.699
East,2012,Q1,8822.2775
West,2012,Q1,-88.6
South,2012,Q1,27220.69
West,2012,Q1,34.52
West,2012,Q1,401.85
Central,2012,Q1,-2561.3235
South,2012,Q1,-99.26
Central,2012,Q1,1096.64
Central,2012,Q1,-521.09
West,2012,Q1,-29.49
Central,2012,Q1,17.05
South,2012,Q1,15.61
East,2012,Q1,154.65
Central,2012,Q1,88.72
East,2012,Q1,1279.37
Central,2012,Q1,373.67
Central,2012,Q1,-6.2
Central,2012,Q1,29.17
South,2012,Q1,-2213.75
Central,2012,Q1,20.14
Central,2012,Q1,16.898
Central,2012,Q1,-48.97
South,2012,Q1,-26.29
Central,2012,Q1,28.7
East,2012,Q1,-335.317125
Central,2012,Q1,-16.37
Central,2012,Q1,163.6335
East,2012,Q1,363
East,2012,Q1,-25
South,2012,Q1,10.29
South,2012,Q1,781.03
West,2012,Q1,3309.55
South,2012,Q1,98.1
East,2012,Q1,-18.85
South,2012,Q1,35.16
Central,2012,Q1,-11.69
South,2012,Q1,230.03
West,2012,Q1,25.76
West,2012,Q1,-31.24
South,2012,Q1,221.38
East,2012,Q1,-152.5245
South,2012,Q1,1944.38
South,2012,Q1,-271.77
South,2012,Q1,-210.06
South,2012,Q1,64.79
West,2012,Q1,-29.003
South,2012,Q1,-7.59
Central,2012,Q1,25.04
South,2012,Q1,69.63
Central,2012,Q1,-7.51
Central,2012,Q1,91.73
East,2012,Q1,-28.09
Central,2012,Q1,930.987
Central,2012,Q1,-82.83
West,2012,Q1,-35.8788
East,2012,Q1,518.07
Central,2012,Q1,-35.94
Central,2012,Q1,302.804
East,2012,Q1,1981.17
Central,2012,Q1,-12.46
East,2012,Q1,-505.76
West,2012,Q1,
South,2012,Q1,126.81
Central,2012,Q1,619.71
South,2012,Q1,1585.476
South,2012,Q1,-59.88
Central,2012,Q1,29.98
South,2012,Q1,-113.45
Central,2012,Q1,-121.2
West,2012,Q1,-89.5
Central,2012,Q1,-116.05
Central,2012,Q1,-41.87
East,2012,Q1,143.793
West,2012,Q1,-95.0475
South,2012,Q1,252.77
West,2012,Q1,3.451
East,2012,Q1,-11.83
West,2012,Q1,-275.253
West,2012,Q1,32.83
West,2012,Q1,51.59
South,2012,Q1,-63.118
South,2012,Q1,-0.81
Central,2012,Q1,-232.991
South,2012,Q2,-209.6
Central,2012,Q2,-33.189
South,2012,Q2,-295.427
Central,2012,Q2,236.61
Central,2012,Q2,231.49
East,2012,Q2,-15.92
South,2012,Q2,158.175
South,2012,Q2,-182.07
Central,2012,Q2,1894.14
Central,2012,Q2,178.14
East,2012,Q2,144.05
East,2012,Q2,422.8
East,2012,Q2,632.29
Central,2012,Q2,-191.49
East,2012,Q2,-66.171
West,2012,Q2,16.79
East,2012,Q2,554.22
West,2012,Q2,112.06
East,2012,Q2,840.051
Central,2012,Q2,-107.5135
Central,2012,Q2,46.01
South,2012,Q2,180.88
South,2012,Q2,119.169
East,2012,Q2,-136.7
Central,2012,Q2,-175.13
East,2012,Q2,-7.04
South,2012,Q2,1371.672
East,2012,Q2,2023.75
West,2012,Q2,67.03
West,2012,Q2,-5.05
East,2012,Q2,3.96
East,2012,Q2,538.52
Central,2012,Q2,544.04
South,2012,Q2,-485.55
South,2012,Q2,-26.32
South,2012,Q2,2.69
Central,2012,Q2,16.65
Central,2012,Q2,38.06
South,2012,Q2,114.1
South,2012,Q2,-129.97
West,2012,Q2,542.25
Central,2012,Q2,-580.32
West,2012,Q2,-22.48
West,2012,Q2,78.98
East,2012,Q2,562.92
Central,2012,Q2,32.1895
East,2012,Q2,-59.82
Central,2012,Q2,501.59
East,2012,Q2,807.62
South,2012,Q2,11.29
South,2012,Q2,2154.07
South,2012,Q2,-15.3
Central,2012,Q2,-8.77
West,2012,Q2,5475.8
West,2012,Q2,603.459
South,2012,Q2,4161.98
South,2012,Q2,-327.65
South,2012,Q2,186.05
South,2012,Q2,-51.5
Central,2012,Q2,-190.49
South,2012,Q2,-127.11
West,2012,Q2,-55.84
Central,2012,Q2,841.725
West,2012,Q2,-3.36
East,2012,Q2,-83.54
East,2012,Q2,-681.97
Central,2012,Q2,772.04
Central,2012,Q2,11.82
Central,2012,Q2,-15.42
Central,2012,Q2,24.59
West,2012,Q2,-53.2962
West,2012,Q2,1116.02
Central,2012,Q2,1336.9565
Central,2012,Q2,355
South,2012,Q2,-83.96
West,2012,Q2,555.934
Central,2012,Q2,120.01
Central,2012,Q2,365.789
Central,2012,Q2,-4.46
West,2012,Q2,-6.34
West,2012,Q2,-160.2755
West,2012,Q2,6.11
West,2012,Q2,-7373.1282
South,2012,Q2,-12.93
East,2012,Q2,-2.9095
East,2012,Q2,331.27
East,2012,Q2,-715.778206
East,2012,Q2,-22.82
East,2012,Q2,-193.58
South,2012,Q2,925.95
East,2012,Q2,-200.859
South,2012,Q2,391.14
South,2012,Q2,661.77
South,2012,Q2,-34.29
West,2012,Q2,21.4795
Central,2012,Q2,-3971.0628
West,2012,Q2,-3798.0111
South,2012,Q2,1228.887
South,2012,Q2,6227.33
West,2012,Q2,111.75
West,2012,Q2,-582.648
West,2012,Q2,-13.77
South,2012,Q2,-584.6
South,2012,Q2,-260.41
Central,2012,Q2,-517.17
Central,2012,Q2,1380.321
South,2012,Q2,202.25
South,2012,Q2,672.37
Central,2012,Q2,365.418
Central,2012,Q2,-429.86
South,2012,Q2,93.68
East,2012,Q2,7917.7585
East,2012,Q2,631.33
Central,2012,Q2,14
West,2012,Q2,-1867.97
South,2012,Q2,-547.89
West,2012,Q2,568.6
South,2012,Q2,5.04
West,2012,Q2,35.09
West,2012,Q2,785.63
East,2012,Q2,-6.8
South,2012,Q2,7.4
East,2012,Q2,-89.13
South,2012,Q2,-9.81
South,2012,Q2,2347.18
East,2012,Q2,61.47
East,2012,Q2,109.16
East,2012,Q2,-24.63
East,2012,Q2,-8.4
East,2012,Q2,-513.79042
East,2012,Q2,18.27
East,2012,Q2,-21.06
South,2012,Q2,-91.95
East,2012,Q2,105.7
East,2012,Q2,1413.52
Central,2012,Q2,64.01
South,2012,Q2,-124.2805
South,2012,Q2,-2.83
Central,2012,Q2,921.41
West,2012,Q2,7.13
West,2012,Q2,-16.67
Central,2012,Q2,-373.09
Central,2012,Q2,-3465.072
West,2012,Q2,-0.11
East,2012,Q2,2.125
East,2012,Q2,-53.25
South,2012,Q2,600.72
East,2012,Q2,66.71
South,2012,Q2,1663.35
West,2012,Q2,-4.17
West,2012,Q2,1947.67
West,2012,Q2,0.37
Central,2012,Q2,19.04
Central,2012,Q2,588.54
South,2012,Q2,3857.43
Central,2012,Q2,1.73
Central,2012,Q2,337.041
South,2012,Q2,181.0245
South,2012,Q2,-62.28
East,2012,Q2,-29.07
Central,2012,Q2,48.25
Central,2012,Q2,-175.86
Central,2012,Q2,748.2
East,2012,Q2,6.79
East,2012,Q2,-421.76
Central,2012,Q2,-1640.511
West,2012,Q2,203.44
West,2012,Q2,374.625
East,2012,Q2,1041.29
West,2012,Q2,288.09
West,2012,Q2,251.17
West,2012,Q2,1030.509
Central,2012,Q2,-539.59
South,2012,Q2,20.6805
West,2012,Q2,-93.25
South,2012,Q2,-119.48
South,2012,Q2,52.5895
South,2012,Q2,-157.28
West,2012,Q2,211.59
West,2012,Q2,-38.57
East,2012,Q2,251.199
West,2012,Q2,385.46
East,2012,Q2,-71.599
West,2012,Q2,28.4
West,2012,Q2,-88.82
East,2012,Q2,554.77
South,2012,Q2,374.82
East,2012,Q2,-163.53
West,2012,Q2,-5.2
West,2012,Q2,693.063
West,2012,Q2,1304.9
West,2012,Q2,3116.54
South,2012,Q2,-586.201
West,2012,Q2,-116.3455
West,2012,Q2,943
Central,2012,Q2,1726.66
East,2012,Q2,308.67
Central,2012,Q2,-222.816
Central,2012,Q2,-1069.72
Central,2012,Q2,1408.1865
Central,2012,Q2,-133.71
South,2012,Q2,79.67
Central,2012,Q2,-634.8654
Central,2012,Q2,578.1445
South,2012,Q2,-91.61
South,2012,Q2,6.732
South,2012,Q2,81.96
West,2012,Q2,47.09
East,2012,Q2,308.934
East,2012,Q2,149.166
East,2012,Q2,-807.59
West,2012,Q2,-101.41
South,2012,Q2,-763.16
West,2012,Q2,-41.32
Central,2012,Q2,-48.57
East,2012,Q2,-120.59
South,2012,Q2,-69.23
South,2012,Q2,91.63
South,2012,Q2,-72.93
South,2012,Q2,21.978
South,2012,Q2,31.17
Central,2012,Q2,-82.64
South,2012,Q2,1366.1
South,2012,Q2,261.29
West,2012,Q2,-36.9
East,2012,Q2,-130.61
West,2012,Q2,-90.5855
South,2012,Q2,-21.17
West,2012,Q2,-1605.73
West,2012,Q2,10.98
East,2012,Q2,7.31
South,2012,Q2,-1.68
Central,2012,Q2,-44.54
Central,2012,Q2,-24.03
Central,2012,Q2,-37.03
Central,2012,Q2,-0.71
Central,2012,Q2,991.26
Central,2012,Q2,-7.61
South,2012,Q2,-102.16
East,2012,Q2,293.14
East,2012,Q2,-67.59
East,2012,Q2,318.25
East,2012,Q2,-57.541
West,2012,Q2,22.22
East,2012,Q2,-6.61
East,2012,Q2,-159.25
West,2012,Q2,-1413.18
South,2012,Q2,-92.07
West,2012,Q2,-165.45
East,2012,Q2,-55.54
West,2012,Q2,713.88
East,2012,Q2,-23.29
West,2012,Q2,-141.12
East,2012,Q2,508.963
West,2012,Q2,384.38
East,2012,Q2,805.4345
West,2012,Q2,46.29
West,2012,Q2,-2.12
Central,2012,Q2,-20.65
West,2012,Q2,-36.63
West,2012,Q2,177.79
Central,2012,Q2,97.16
Central,2012,Q2,-207.28
West,2012,Q2,9.33
West,2012,Q2,-136.252
West,2012,Q2,198.9425
West,2012,Q2,-62
South,2012,Q2,-4.04
South,2012,Q2,-83.42
West,2012,Q2,120.18
South,2012,Q2,151.27
South,2012,Q2,87.88
Central,2012,Q2,-945.558
South,2012,Q2,24.09
East,2012,Q2,122.292
East,2012,Q2,-67.0565
South,2012,Q2,-4.07
East,2012,Q2,-7.94
Central,2012,Q2,326.25
West,2012,Q2,-92.32
East,2012,Q2,-93.8285
East,2012,Q2,-20.57
Central,2012,Q2,67.1075
East,2012,Q2,-152.76
Central,2012,Q2,-16.89
Central,2012,Q2,25.51
Central,2012,Q2,168.237
West,2012,Q2,396.972
West,2012,Q2,-33.31
West,2012,Q2,-239.315
Central,2012,Q2,81.91
West,2012,Q2,-166.74
East,2012,Q2,-1
East,2012,Q2,80.35
West,2012,Q2,-17.49
East,2012,Q2,-221.254
West,2012,Q2,969.42
Central,2012,Q2,-11.2815
Central,2012,Q2,117.38
West,2012,Q2,-114.6399
West,2012,Q2,-2.87
West,2012,Q2,-4.09
East,2012,Q2,-2111.36
Central,2012,Q2,1489.8
West,2012,Q2,-164.3952
West,2012,Q2,-592.43
West,2012,Q2,
East,2012,Q2,304.2
West,2012,Q2,-53.82
West,2012,Q2,38.45
East,2012,Q2,807.381
Central,2012,Q2,-5.54
South,2012,Q2,17
South,2012,Q2,315.33
East,2012,Q2,-633.441237
Central,2012,Q2,650.3
West,2012,Q2,1318.83
East,2012,Q2,-16.64
East,2012,Q2,-59.73
East,2012,Q2,-23.53
East,2012,Q2,66.22
West,2012,Q2,175.03
East,2012,Q2,-45.64
West,2012,Q2,-51.704
West,2012,Q2,-66.585
West,2012,Q2,21.78
East,2012,Q2,204.49
East,2012,Q2,28.55
West,2012,Q2,617.0575
West,2012,Q2,1286.532
West,2012,Q2,-112.189
West,2012,Q2,-6.612
West,2012,Q2,398.358
West,2012,Q2,4503.63
Central,2012,Q2,336.25
East,2012,Q2,12.71
Central,2012,Q2,-14.52
West,2012,Q2,-256.519
Central,2012,Q2,122.21
West,2012,Q2,497.114
West,2012,Q2,-235.895
East,2012,Q2,-132.6295
East,2012,Q2,49.788
East,2012,Q2,401.8
East,2012,Q2,-23.5
East,2012,Q2,-1014.11
East,2012,Q2,-41.77
South,2012,Q2,-82.5
East,2012,Q2,-5.08
South,2012,Q2,-23.25
South,2012,Q2,227.59
Central,2012,Q2,-92.961
Central,2012,Q2,1443.351
Central,2012,Q2,232.441
South,2012,Q2,3.502
East,2012,Q2,-2.97
Central,2012,Q2,15.74
South,2012,Q2,-25.99
East,2012,Q2,-71.95
East,2012,Q2,-22.902
Central,2012,Q2,531.69
Central,2012,Q2,216.43
South,2012,Q2,5.27
South,2012,Q2,-14.76
West,2012,Q2,-896.34
West,2012,Q2,-4.37
East,2012,Q2,197.76
East,2012,Q2,76.63
East,2012,Q2,-3.18
East,2012,Q2,-29.2929
East,2012,Q2,55.30185
East,2012,Q2,234.612
West,2012,Q2,-168.14
West,2012,Q2,-445.77
South,2012,Q2,511.69
South,2012,Q2,0.35
West,2012,Q2,39.19
West,2012,Q2,-206.151
Central,2012,Q2,417.465
South,2012,Q2,183.9
West,2012,Q2,1577.02
West,2012,Q2,-85.29
West,2012,Q2,-566.5
East,2012,Q2,-28.2
East,2012,Q2,-22.33
East,2012,Q2,-1819.9965
West,2012,Q2,-16.335
East,2012,Q2,1092.94
East,2012,Q2,40.2
East,2012,Q2,3.21
Central,2012,Q2,14.49
West,2012,Q2,-26.54
West,2012,Q2,-6.78
East,2012,Q2,569.08
West,2012,Q2,-115.21
Central,2012,Q2,10951.3065
South,2012,Q2,816.72
South,2012,Q2,-92.37
East,2012,Q2,809.97
West,2012,Q2,-5.65
West,2012,Q2,1057.62
East,2012,Q2,8.75
East,2012,Q2,-31.38
Central,2012,Q2,-9.177
East,2012,Q2,1141.07
East,2012,Q2,150.72
Central,2012,Q2,-14.22
East,2012,Q2,3.13
East,2012,Q2,-38.51
South,2012,Q2,287.991
Central,2012,Q2,261.522
West,2012,Q2,-11.9485
Central,2012,Q2,211.086
East,2012,Q2,19.42
Central,2012,Q2,-904.73
West,2012,Q2,-38.04
South,2012,Q2,-9.5
West,2012,Q2,-1643.74
West,2012,Q2,590.35
South,2012,Q2,27.62
West,2012,Q2,649.05
West,2012,Q2,287.5
East,2012,Q2,-56.56
West,2012,Q2,490.99
Central,2012,Q2,309.31
South,2012,Q2,346.98
South,2012,Q2,7.5225
South,2012,Q2,25.44
Central,2012,Q2,-144.2
Central,2012,Q2,-172.546
East,2012,Q2,2593.14
South,2012,Q2,2595.1775
East,2012,Q2,1162.76
Central,2012,Q2,13.41
East,2012,Q2,-222.77
West,2012,Q2,20.26
East,2012,Q2,664.88
West,2012,Q2,-105.547
